"TOB minus 1.1.1.3 TLIQ"
Date,VALUE_CONVERTED
"1641380400000","3.054255485534668"
"1641466800000","6.281529903411865"
"1641553200000","4.843609809875488"
"1641639600000","3.553692102432251"
"1641812400000","3.3348565101623535"
"1641898800000","3.2727227210998535"
"1642158000000","1.0330018997192383"
"1642330800000","-20.08830451965332"
"1644231600000","-15.317688941955566"
"1644318000000","-14.835160255432129"
"1646391600000","-14.697487831115723"
"1646737200000","-14.714280128479004"
"1646823600000","-14.62109088897705"
"1646910000000","-14.219141006469727"
"1646996400000","-14.210225105285645"
"1647255600000","-14.184033393859863"
"1647342000000","-14.115187644958496"
"1647428400000","-14.042327880859375"
"1647514800000","-14.00320053100586"
"1647601200000","-14.014442443847656"
"1647860400000","-14.108624458312988"
"1647946800000","-14.878520965576172"
"1648033200000","-14.84824275970459"
"1648119600000","-14.219569206237793"
"1648206000000","-14.87492561340332"
"1648292400000","-14.234101295471191"
"1648465200000","-14.432960510253906"
"1648551600000","-15.496049880981445"
"1648638000000","-16.211633682250977"
"1648724400000","-16.637523651123047"
"1648897200000","-17.397188186645508"
"1648983600000","-18.25519561767578"
"1649156400000","-18.57748031616211"
"1649242800000","-19.21612548828125"
"1649329200000","-19.21862030029297"
"1649415600000","-19.213523864746094"
"1649502000000","-19.13800621032715"
"1649674800000","-19.14063262939453"
"1649761200000","-19.180150985717773"
"1649847600000","-19.21063804626465"
"1649934000000","-19.16065788269043"
"1650020400000","-19.135114669799805"
"1650193200000","-19.137479782104492"
"1650366000000","-19.138595581054688"
"1650452400000","-19.218530654907227"
"1650538800000","-19.23118782043457"
"1650625200000","-19.242618560791016"
"1650711600000","-19.263996124267578"
"1650798000000","-19.222816467285156"
"1650884400000","-19.241945266723633"
"1650970800000","-18.9874210357666"
"1651057200000","-19.207101821899414"
"1651143600000","-19.2032470703125"
"1651230000000","-19.20625114440918"
"1651316400000","-19.195106506347656"
"1651489200000","-19.186372756958008"
"1651662000000","-19.287199020385742"
"1651748400000","-19.172588348388672"
"1651834800000","-19.183767318725586"
"1651921200000","-19.254981994628906"
"1652007600000","-19.259069442749023"
"1652094000000","-19.2161865234375"
"1652180400000","-13.897339820861816"
"1652266800000","5.967848777770996"
"1652353200000","7.213011264801025"
"1652439600000","1.6113156080245972"
"1652526000000","-0.9364875555038452"
"1652612400000","-8.924731254577637"
"1652698800000","-16.919479370117188"
"1652785200000","-19.254819869995117"
"1652871600000","-19.290504455566406"
"1652958000000","-19.190935134887695"
"1653044400000","-19.177989959716797"
"1653130800000","-19.166584014892578"
"1653217200000","-19.12788200378418"
"1653303600000","-19.20583724975586"
"1653390000000","-19.2159366607666"
"1653476400000","-19.217275619506836"
"1653562800000","-19.194822311401367"
"1653649200000","-19.21166229248047"
"1653735600000","-19.173036575317383"
"1653822000000","-19.181795120239258"
"1653908400000","-19.191741943359375"
"1653994800000","-19.148927688598633"
"1654081200000","-19.180278778076172"
"1654167600000","-19.209760665893555"
"1654254000000","-19.20884895324707"
"1654340400000","-19.175914764404297"
"1654426800000","-19.168888092041016"
"1654513200000","-19.1583309173584"
"1654599600000","-19.243513107299805"
"1654686000000","-19.32388687133789"
"1654772400000","-19.204986572265625"
"1654858800000","-19.21456527709961"
"1654945200000","-19.21416664123535"
"1655031600000","-19.213579177856445"
"1655118000000","-19.185340881347656"
"1655204400000","-17.627029418945312"
"1655290800000","-10.5"
"1656932400000","-10.606423377990723"
"1657018800000","-19.14923667907715"
"1657105200000","-19.16771125793457"
"1657191600000","-19.228483200073242"
"1657364400000","-19.259326934814453"
"1657450800000","-19.251466751098633"
"1657537200000","-19.208406448364258"
"1657623600000","-19.190711975097656"
"1657710000000","-15.792308807373047"
"1657796400000","-19.221820831298828"
"1657882800000","-19.18427085876465"
"1658142000000","-19.21382713317871"
"1658228400000","-19.18472671508789"
"1658314800000","-19.18319320678711"
"1658401200000","-19.18448257446289"
"1658487600000","-19.209148406982422"
"1658574000000","-19.15352439880371"
"1658660400000","-19.134841918945312"
"1658746800000","-19.16592788696289"
"1658833200000","-19.164714813232422"
"1658919600000","-19.186138153076172"
"1659006000000","-19.181564331054688"
"1659092400000","-19.152313232421875"
"1659178800000","-19.137121200561523"
"1659265200000","-19.17329978942871"
"1659351600000","-19.159372329711914"
"1659438000000","-19.146774291992188"
"1659524400000","-19.193138122558594"
"1659610800000","-19.21987533569336"
"1659697200000","-19.172887802124023"
"1659783600000","-19.154132843017578"
"1659870000000","-19.140613555908203"
"1659956400000","-19.18036460876465"
"1660042800000","-19.151418685913086"
"1660129200000","-19.194311141967773"
"1660215600000","-19.20046043395996"
"1660302000000","-19.202667236328125"
"1660388400000","-19.19914436340332"
"1660474800000","-19.186695098876953"
"1660561200000","-19.186765670776367"
"1660647600000","-19.174602508544922"
"1660734000000","-19.194400787353516"
"1660820400000","-19.20556640625"
"1660906800000","-19.184663772583008"
"1660993200000","-19.119524002075195"
"1661079600000","-19.177549362182617"
"1661166000000","-19.12487030029297"
"1661252400000","-19.16853141784668"
"1661338800000","-19.184879302978516"
"1661425200000","-19.20655059814453"
"1661511600000","-19.21272850036621"
"1661598000000","-19.21196937561035"
"1661684400000","-19.218103408813477"
"1661770800000","-19.2850399017334"
"1661857200000","-15.852249145507812"
"1661943600000","6.363536834716797"
"1662116400000","9.643776893615723"
"1662202800000","9.784947395324707"
"1662289200000","9.77865982055664"
"1662375600000","9.602190017700195"
"1662462000000","9.600151062011719"
"1662548400000","13.014914512634277"
"1662634800000","9.466597557067871"
"1663066800000","4.623752117156982"
"1663153200000","-6.479088306427002"
"1663239600000","-19.188499450683594"
"1663326000000","-19.20732307434082"
"1663412400000","-19.26386833190918"
"1663498800000","-19.245704650878906"
"1663585200000","-19.220937728881836"
"1663671600000","-19.24790382385254"
"1663758000000","-19.20290756225586"
"1663844400000","-19.24753189086914"
"1663930800000","-19.208023071289062"
"1664190000000","-19.142154693603516"
"1664276400000","-19.226470947265625"
"1664362800000","-19.178630828857422"
"1664449200000","-19.197309494018555"
"1664535600000","-19.195240020751953"
