"TOB minus 1.1.1.2 TLIQ"
Date,VALUE_CONVERTED
"1641380400000","3.0864362716674805"
"1641466800000","6.285703182220459"
"1641553200000","5.183508396148682"
"1641639600000","3.673975944519043"
"1641812400000","3.4719431400299072"
"1641898800000","3.346193552017212"
"1642158000000","1.0615959167480469"
"1642330800000","-20.35167121887207"
"1643022000000","-15.643891334533691"
"1643281200000","-15.478639602661133"
"1644231600000","-15.634866714477539"
"1645441200000","-15.230348587036133"
"1645700400000","-14.987658500671387"
"1646391600000","-15.145917892456055"
"1646737200000","-15.088608741760254"
"1646823600000","-14.934721946716309"
"1646910000000","-14.373152732849121"
"1646996400000","-14.346823692321777"
"1647255600000","-14.267938613891602"
"1647342000000","-14.225285530090332"
"1647428400000","-14.099266052246094"
"1647514800000","-14.119719505310059"
"1647601200000","-14.213823318481445"
"1647687600000","-14.374771118164062"
"1647860400000","-14.369519233703613"
"1647946800000","-15.109044075012207"
"1648033200000","-15.053714752197266"
"1648119600000","-14.39536190032959"
"1648206000000","-15.035593032836914"
"1648292400000","-14.31980037689209"
"1648378800000","-14.306290626525879"
"1648465200000","-14.701952934265137"
"1648551600000","-15.681522369384766"
"1648638000000","-16.338220596313477"
"1648724400000","-16.763410568237305"
"1648810800000","-17.36020278930664"
"1648897200000","-17.70111083984375"
"1649156400000","-18.614152908325195"
"1649242800000","-19.383920669555664"
"1649329200000","-19.3585147857666"
"1649415600000","-19.353246688842773"
"1649502000000","-19.292619705200195"
"1649588400000","-19.29629135131836"
"1649674800000","-19.349971771240234"
"1650020400000","-19.405284881591797"
"1650106800000","-19.319929122924805"
"1650193200000","-19.405136108398438"
"1650366000000","-19.39142417907715"
"1650452400000","-19.394367218017578"
"1650538800000","-19.39059829711914"
"1650625200000","-19.435007095336914"
"1650711600000","-19.45490837097168"
"1650798000000","-19.447044372558594"
"1650884400000","-19.39189338684082"
"1650970800000","-19.14666175842285"
"1651057200000","-19.416976928710938"
"1651143600000","-19.433399200439453"
"1651230000000","-19.360883712768555"
"1651316400000","-19.367910385131836"
"1651402800000","-19.350900650024414"
"1651489200000","-19.360034942626953"
"1651575600000","-19.391204833984375"
"1651662000000","-19.41425323486328"
"1651748400000","-19.356250762939453"
"1651834800000","-19.371931076049805"
"1651921200000","-19.397672653198242"
"1652007600000","-19.375364303588867"
"1652094000000","-19.401166915893555"
"1652180400000","-14.113992691040039"
"1652266800000","5.812073707580566"
"1652353200000","7.05878210067749"
"1652526000000","0.18434524536132812"
"1652612400000","-9.041876792907715"
"1652698800000","-17.12704849243164"
"1652785200000","-19.4564151763916"
"1652871600000","-19.42130470275879"
"1652958000000","-19.38825225830078"
"1653130800000","-19.38762855529785"
"1653217200000","-19.30502700805664"
"1653303600000","-19.400667190551758"
"1653390000000","-19.37431526184082"
"1653476400000","-19.37837028503418"
"1653562800000","-19.381237030029297"
"1653649200000","-19.366249084472656"
"1653735600000","-19.363033294677734"
"1653822000000","-19.373788833618164"
"1653908400000","-19.381502151489258"
"1653994800000","-19.385957717895508"
"1654081200000","-19.37106704711914"
"1654167600000","-19.40603256225586"
"1654254000000","-19.406660079956055"
"1654340400000","-19.348081588745117"
"1654426800000","-19.34404182434082"
"1654513200000","-19.30121612548828"
"1654599600000","-19.34592056274414"
"1654686000000","-19.50558090209961"
"1654772400000","-19.365942001342773"
"1654858800000","-19.3798828125"
"1654945200000","-19.392839431762695"
"1655031600000","-19.402902603149414"
"1655118000000","-19.378768920898438"
"1655204400000","-17.881975173950195"
"1655290800000","-10.5"
"1656932400000","-10.895564079284668"
"1657018800000","-19.36245346069336"
"1657105200000","-19.370691299438477"
"1657191600000","-19.336624145507812"
"1657278000000","-19.326501846313477"
"1657364400000","-19.291162490844727"
"1657450800000","-19.34995460510254"
"1657537200000","-19.352481842041016"
"1657623600000","-19.3171329498291"
"1657710000000","-16.015718460083008"
"1657796400000","-19.419551849365234"
"1657882800000","-19.412538528442383"
"1658055600000","-19.41526985168457"
"1658142000000","-19.33852195739746"
"1658228400000","-19.320941925048828"
"1658314800000","-19.30199432373047"
"1658401200000","-19.32929229736328"
"1658487600000","-19.381427764892578"
"1658574000000","-19.348087310791016"
"1658660400000","-19.335227966308594"
"1658746800000","-19.344186782836914"
"1658833200000","-19.3170166015625"
"1658919600000","-19.394439697265625"
"1659006000000","-19.361080169677734"
"1659092400000","-19.33188247680664"
"1659178800000","-19.33672332763672"
"1659265200000","-19.303424835205078"
"1659351600000","-19.322603225708008"
"1659438000000","-19.283105850219727"
"1659524400000","-19.364795684814453"
"1659610800000","-19.315155029296875"
"1659697200000","-19.330835342407227"
"1659783600000","-19.319753646850586"
"1659870000000","-19.322952270507812"
"1659956400000","-19.33800506591797"
"1660042800000","-19.3233642578125"
"1660129200000","-19.34044075012207"
"1660215600000","-19.356136322021484"
"1660302000000","-19.344520568847656"
"1660388400000","-19.340551376342773"
"1660474800000","-19.34012222290039"
"1660561200000","-19.367935180664062"
"1660647600000","-19.32354164123535"
"1660734000000","-19.326509475708008"
"1660820400000","-19.34959602355957"
"1660906800000","-19.341346740722656"
"1660993200000","-19.317262649536133"
"1661079600000","-19.278278350830078"
"1661166000000","-19.280471801757812"
"1661252400000","-19.314041137695312"
"1661338800000","-19.363317489624023"
"1661425200000","-19.363134384155273"
"1661770800000","-19.38527488708496"
"1661857200000","-15.989289283752441"
"1661943600000","6.256283283233643"
"1662030000000","9.585965156555176"
"1662116400000","9.551838874816895"
"1662202800000","9.618974685668945"
"1662289200000","9.641626358032227"
"1662375600000","9.64282512664795"
"1662462000000","9.637736320495605"
"1662548400000","12.870378494262695"
"1662634800000","9.322478294372559"
"1662721200000","4.47681188583374"
"1662807600000","4.46834135055542"
"1662894000000","4.468038082122803"
"1662980400000","4.471945285797119"
"1663066800000","4.48388671875"
"1663153200000","-6.73223876953125"
"1663239600000","-19.430519104003906"
"1663326000000","-19.37378692626953"
"1663412400000","-19.33115005493164"
"1663498800000","-19.354398727416992"
"1663585200000","-19.392902374267578"
"1663671600000","-19.367034912109375"
"1663758000000","-19.370309829711914"
"1663844400000","-19.371110916137695"
"1663930800000","-19.377986907958984"
"1664017200000","-19.335962295532227"
"1664103600000","-19.324434280395508"
"1664190000000","-19.33841323852539"
"1664276400000","-19.391197204589844"
"1664362800000","-19.36943817138672"
"1664449200000","-19.350954055786133"
"1664535600000","-19.365467071533203"
"1664622000000","-19.34581756591797"
"1664708400000","-19.356346130371094"
"1664794800000","-19.344284057617188"
"1664881200000","-19.340238571166992"
"1664967600000","-19.33818244934082"
"1665054000000","-19.3644962310791"
"1665140400000","-19.363561630249023"
"1665226800000","-19.323631286621094"
"1665313200000","-19.350555419921875"
"1665399600000","-19.323816299438477"
"1665486000000","-19.368513107299805"
"1665572400000","-19.4246883392334"
"1665658800000","-19.33304786682129"
"1665745200000","-19.291553497314453"
"1665831600000","-19.373085021972656"
"1665918000000","-19.392906188964844"
"1666004400000","-17.014039993286133"
"1666177200000","-16.84946060180664"
"1666263600000","-19.3028621673584"
"1666350000000","-19.331523895263672"
"1666436400000","-19.28999137878418"
"1666522800000","-19.2951602935791"
"1666609200000","-19.3572998046875"
"1666695600000","-19.06433868408203"
"1666782000000","-19.352914810180664"
"1666868400000","-19.372817993164062"
"1666954800000","-19.293764114379883"
"1667041200000","-19.289356231689453"
"1667127600000","-19.35276985168457"
"1667214000000","-19.326852798461914"
"1667300400000","-19.291906356811523"
"1667386800000","-19.28753089904785"
"1667473200000","-19.337427139282227"
"1667559600000","-19.35658073425293"
"1667646000000","-18.452255249023438"
"1667732400000","-15.65280532836914"
"1667818800000","-15.657264709472656"
"1667905200000","-15.649538040161133"
"1667991600000","-17.93088150024414"
"1668078000000","-19.313133239746094"
"1668164400000","-19.335407257080078"
"1668250800000","-19.340641021728516"
"1668337200000","-19.331974029541016"
"1668423600000","-19.339710235595703"
"1668510000000","-19.331262588500977"
"1668596400000","-19.341806411743164"
"1668682800000","-19.36627769470215"
"1668769200000","-19.354164123535156"
"1668855600000","-19.350669860839844"
"1668942000000","-19.36359214782715"
"1669028400000","-19.338085174560547"
"1669114800000","-16.403196334838867"
"1669201200000","-17.57925796508789"
"1669287600000","-19.344894409179688"
"1669374000000","-19.346454620361328"
"1669460400000","-19.326824188232422"
"1669546800000","-19.342205047607422"
"1669633200000","-18.312210083007812"
"1669719600000","3.0000030994415283"
"1669806000000","1.5037007331848145"
"1669892400000","1.8649778366088867"
"1670238000000","1.9797000885009766"
"1670324400000","4.2073187828063965"
"1670410800000","3.4338340759277344"
"1670756400000","3.7688162326812744"
"1670842800000","3.8808257579803467"
"1670929200000","7.697174549102783"
"1671015600000","13.472037315368652"
"1671102000000","9.029779434204102"
"1671188400000","7.537072658538818"
"1671274800000","7.312481880187988"
"1671447600000","7.283536434173584"
"1671534000000","7.422091960906982"
"1671620400000","1.7134677171707153"
"1671706800000","0.3946429193019867"
"1671793200000","2.7991113662719727"
"1671879600000","3.2473080158233643"
"1672225200000","3.257913589477539"
"1672484400000","3.481710433959961"
