"TOB plus 1.1.1.2 TLIQ"
Date,VALUE_CONVERTED
"1641380400000","2.6526200771331787"
"1641466800000","5.830009460449219"
"1641553200000","4.9162139892578125"
"1641639600000","3.4984920024871826"
"1641812400000","3.3161683082580566"
"1641898800000","3.2115232944488525"
"1642158000000","0.9706712961196899"
"1642330800000","-20.191781997680664"
"1643022000000","-15.539386749267578"
"1643281200000","-15.373987197875977"
"1643713200000","-15.53164005279541"
"1644231600000","-15.337703704833984"
"1644404400000","-15.146340370178223"
"1645441200000","-14.9339017868042"
"1646391600000","-14.946404457092285"
"1646737200000","-14.937335968017578"
"1646823600000","-14.884295463562012"
"1646910000000","-14.556851387023926"
"1646996400000","-14.574015617370605"
"1647514800000","-14.551162719726562"
"1647601200000","-14.452643394470215"
"1647946800000","-14.62666130065918"
"1648033200000","-15.038433074951172"
"1648119600000","-14.496010780334473"
"1648206000000","-15.077519416809082"
"1648465200000","-14.617107391357422"
"1648551600000","-15.779141426086426"
"1648638000000","-16.482057571411133"
"1648724400000","-16.931547164916992"
"1648810800000","-17.436094284057617"
"1648897200000","-17.827957153320312"
"1649070000000","-18.480205535888672"
"1649156400000","-19.06370735168457"
"1649242800000","-19.42228126525879"
"1649329200000","-19.39480209350586"
"1649415600000","-19.42898941040039"
"1649674800000","-19.490528106689453"
"1649847600000","-19.468416213989258"
"1650538800000","-19.451967239379883"
"1650625200000","-19.429922103881836"
"1650711600000","-19.466533660888672"
"1650798000000","-19.45284080505371"
"1650884400000","-19.43556785583496"
"1650970800000","-19.11732292175293"
"1651057200000","-19.434062957763672"
"1651230000000","-19.427146911621094"
"1651316400000","-19.414274215698242"
"1651489200000","-19.446706771850586"
"1651575600000","-19.491361618041992"
"1651662000000","-19.414413452148438"
"1651748400000","-19.498878479003906"
"1651834800000","-19.461156845092773"
"1651921200000","-19.39716148376465"
"1652007600000","-19.350976943969727"
"1652094000000","-19.401569366455078"
"1652180400000","-14.160834312438965"
"1652266800000","5.501292705535889"
"1652353200000","6.812067031860352"
"1652526000000","0.09129483252763748"
"1652612400000","-9.043957710266113"
"1652698800000","-17.1023006439209"
"1652785200000","-19.505569458007812"
"1652871600000","-19.43161964416504"
"1652958000000","-19.4497127532959"
"1653044400000","-19.40424919128418"
"1653130800000","-19.410593032836914"
"1653303600000","-19.39449691772461"
"1653476400000","-19.447301864624023"
"1653562800000","-19.452688217163086"
"1653649200000","-19.415250778198242"
"1653735600000","-19.41657829284668"
"1653822000000","-19.35291862487793"
"1653908400000","-19.38310432434082"
"1653994800000","-19.395610809326172"
"1654081200000","-19.38982391357422"
"1654254000000","-19.36658477783203"
"1654340400000","-19.436830520629883"
"1654426800000","-19.365201950073242"
"1654513200000","-19.368587493896484"
"1654599600000","-19.445314407348633"
"1654686000000","-19.456266403198242"
"1654772400000","-19.386075973510742"
"1654858800000","-19.415939331054688"
"1654945200000","-19.41680145263672"
"1655031600000","-19.423198699951172"
"1655118000000","-19.3765811920166"
"1655204400000","-17.890426635742188"
"1655290800000","-10.5"
"1656932400000","-10.846918106079102"
"1657018800000","-19.400293350219727"
"1657105200000","-19.42853355407715"
"1657191600000","-19.410194396972656"
"1657278000000","-19.38253402709961"
"1657450800000","-19.368431091308594"
"1657537200000","-19.409149169921875"
"1657623600000","-19.411699295043945"
"1657710000000","-15.947895050048828"
"1657796400000","-19.417089462280273"
"1657882800000","-19.427194595336914"
"1657969200000","-19.422853469848633"
"1658142000000","-19.382917404174805"
"1658228400000","-19.34036636352539"
"1658314800000","-19.340974807739258"
"1658401200000","-19.376203536987305"
"1658487600000","-19.38400650024414"
"1658574000000","-19.397258758544922"
"1658660400000","-19.404111862182617"
"1658746800000","-19.38299560546875"
"1658833200000","-19.428936004638672"
"1658919600000","-19.39827537536621"
"1659006000000","-19.390119552612305"
"1659092400000","-19.378284454345703"
"1659178800000","-19.409902572631836"
"1659265200000","-19.410400390625"
"1659351600000","-19.389768600463867"
"1659438000000","-19.444072723388672"
"1659524400000","-19.395029067993164"
"1659610800000","-19.398500442504883"
"1659697200000","-19.394845962524414"
"1659783600000","-19.328744888305664"
"1659870000000","-19.38652801513672"
"1659956400000","-19.393192291259766"
"1660042800000","-19.384981155395508"
"1660129200000","-19.428922653198242"
"1660215600000","-19.385257720947266"
"1660302000000","-19.43279457092285"
"1660388400000","-19.425626754760742"
"1660474800000","-19.414051055908203"
"1660561200000","-19.394681930541992"
"1660647600000","-19.394365310668945"
"1660734000000","-19.424358367919922"
"1660820400000","-19.412538528442383"
"1660906800000","-19.36785125732422"
"1660993200000","-19.374557495117188"
"1661079600000","-19.404067993164062"
"1661166000000","-19.377674102783203"
"1661252400000","-19.422147750854492"
"1661338800000","-19.413122177124023"
"1661425200000","-19.360971450805664"
"1661770800000","-19.35971450805664"
"1661857200000","-15.85783863067627"
"1661943600000","6.023554801940918"
"1662030000000","9.293362617492676"
"1662116400000","9.252785682678223"
"1662202800000","9.20651626586914"
"1662289200000","9.244248390197754"
"1662375600000","9.235810279846191"
"1662462000000","9.169394493103027"
"1662548400000","12.359688758850098"
"1662634800000","8.93383502960205"
"1663066800000","4.323842525482178"
"1663153200000","-6.809913635253906"
"1663239600000","-19.439191818237305"
"1663326000000","-19.398286819458008"
"1663498800000","-19.41110610961914"
"1663585200000","-19.380855560302734"
"1663671600000","-19.430896759033203"
"1663758000000","-19.367910385131836"
"1663844400000","-19.44930648803711"
"1663930800000","-19.455577850341797"
"1664017200000","-19.389842987060547"
"1664103600000","-19.283422470092773"
"1664190000000","-19.343358993530273"
"1664276400000","-19.45880126953125"
"1664362800000","-19.396265029907227"
"1664449200000","-19.387821197509766"
"1664535600000","-19.363454818725586"
"1664622000000","-19.381572723388672"
"1664708400000","-19.4453182220459"
"1664794800000","-19.369916915893555"
"1664881200000","-19.43610382080078"
"1664967600000","-19.422971725463867"
"1665054000000","-19.4194278717041"
"1665140400000","-19.419973373413086"
"1665226800000","-19.368196487426758"
"1665313200000","-19.453866958618164"
"1665399600000","-19.472999572753906"
"1665486000000","-19.392074584960938"
"1665572400000","-19.40626335144043"
"1665658800000","-19.420854568481445"
"1665745200000","-19.43622398376465"
"1665831600000","-19.393754959106445"
"1665918000000","-19.38968849182129"
"1666004400000","-16.91944122314453"
"1666177200000","-16.77346420288086"
"1666263600000","-19.386137008666992"
"1666350000000","-19.431495666503906"
"1666436400000","-19.434438705444336"
"1666522800000","-19.400585174560547"
"1666609200000","-19.417272567749023"
"1666695600000","-19.094560623168945"
"1666782000000","-19.457374572753906"
"1666868400000","-19.42905616760254"
"1666954800000","-19.40983772277832"
"1667041200000","-19.427642822265625"
"1667127600000","-19.349781036376953"
"1667214000000","-19.377492904663086"
"1667300400000","-19.421239852905273"
"1667386800000","-19.331256866455078"
"1667473200000","-19.441516876220703"
"1667559600000","-19.358306884765625"
"1667646000000","-18.50255584716797"
"1667991600000","-16.176755905151367"
"1668078000000","-19.352806091308594"
"1668164400000","-19.385536193847656"
"1668250800000","-19.444509506225586"
"1668337200000","-19.44406509399414"
"1668423600000","-19.416961669921875"
"1668510000000","-19.425033569335938"
"1668596400000","-19.372163772583008"
"1668682800000","-19.418243408203125"
"1668769200000","-19.425086975097656"
"1668855600000","-19.409713745117188"
"1669028400000","-19.478940963745117"
"1669114800000","-16.347301483154297"
"1669201200000","-17.566513061523438"
"1669287600000","-19.365711212158203"
"1669374000000","-19.391273498535156"
"1669460400000","-19.417909622192383"
"1669546800000","-19.403533935546875"
"1669633200000","-18.36149787902832"
"1669719600000","2.7817471027374268"
"1669806000000","1.363565444946289"
"1669892400000","1.6898952722549438"
"1670238000000","1.8039348125457764"
"1670324400000","3.978672742843628"
"1670410800000","3.192204475402832"
"1670583600000","3.5097882747650146"
"1670842800000","3.646916627883911"
"1670929200000","7.307378768920898"
"1671015600000","12.932917594909668"
"1671102000000","8.696832656860352"
"1671188400000","7.317853927612305"
"1671274800000","7.049925327301025"
"1671447600000","7.072516918182373"
"1671534000000","7.014585971832275"
"1671620400000","1.546209692955017"
"1671706800000","0.27197644114494324"
"1671793200000","2.582474946975708"
"1671879600000","3.040736198425293"
