"TOB minus 1.1.1.2 TLIQ"
Date,VALUE_CONVERTED
"1515150000000","1.681419014930725"
"1515495600000","3.280174732208252"
"1515582000000","10.394689559936523"
"1515668400000","9.599367141723633"
"1515754800000","9.470022201538086"
"1515841200000","9.331563949584961"
"1516014000000","10.261503219604492"
"1516100400000","16.82776641845703"
"1516186800000","18.389108657836914"
"1516273200000","18.903573989868164"
"1516359600000","18.200576782226562"
"1516446000000","7.926814079284668"
"1516618800000","-7.294918537139893"
"1516705200000","-5.408020973205566"
"1516791600000","8.425664901733398"
"1516878000000","-9.255035400390625"
"1516964400000","-14.299653053283691"
"1517050800000","-14.262007713317871"
"1517223600000","-14.304454803466797"
"1517310000000","-17.014728546142578"
"1517396400000","-19.417381286621094"
"1517482800000","-19.38694190979004"
"1517569200000","-20.161602020263672"
"1517655600000","-19.591312408447266"
"1517742000000","-17.62218475341797"
"1517828400000","-19.29445457458496"
"1517914800000","-19.436609268188477"
"1518001200000","-19.393230438232422"
"1518087600000","0.7873709797859192"
"1518174000000","14.667773246765137"
"1518260400000","14.638032913208008"
"1518346800000","14.645033836364746"
"1518433200000","14.9307222366333"
"1518519600000","14.671156883239746"
"1518606000000","14.683944702148438"
"1518692400000","14.700581550598145"
"1518778800000","14.730676651000977"
"1518865200000","14.746331214904785"
"1518951600000","14.65217113494873"
"1519038000000","14.681970596313477"
"1519124400000","14.643489837646484"
"1519210800000","15.481523513793945"
"1519297200000","19.02310562133789"
"1519383600000","20.131589889526367"
"1519470000000","20.269527435302734"
"1519556400000","20.312414169311523"
"1519642800000","20.323265075683594"
"1519729200000","17.576539993286133"
"1519815600000","2.1281559467315674"
"1519902000000","-20.50107765197754"
"1519988400000","-19.99091339111328"
"1520074800000","-19.452486038208008"
"1520161200000","-19.434709548950195"
"1520247600000","-19.370336532592773"
"1520334000000","-19.36155891418457"
"1520420400000","-19.33222007751465"
"1520506800000","-19.34998893737793"
"1520593200000","-19.371431350708008"
"1520679600000","-19.351186752319336"
"1520766000000","-19.353668212890625"
"1520852400000","-19.38574981689453"
"1520938800000","-19.357593536376953"
"1521025200000","-19.37024688720703"
"1521111600000","-19.367145538330078"
"1521198000000","-19.412357330322266"
"1521284400000","-19.346044540405273"
"1521370800000","-19.351083755493164"
"1521457200000","-19.35899543762207"
"1521543600000","-19.373798370361328"
"1521630000000","-19.580224990844727"
"1521716400000","-19.365751266479492"
"1521802800000","-19.386018753051758"
"1521889200000","-19.32232666015625"
"1521975600000","-19.330108642578125"
"1522062000000","-13.204465866088867"
"1522148400000","-19.42228889465332"
"1522234800000","-19.357805252075195"
"1522321200000","-19.33635902404785"
"1522407600000","-19.382265090942383"
"1522494000000","-19.433095932006836"
"1522580400000","-19.451465606689453"
"1522666800000","-19.441940307617188"
"1522753200000","-19.423812866210938"
"1522839600000","-19.367267608642578"
"1522926000000","-19.44256019592285"
"1523012400000","-19.43250274658203"
"1523098800000","-19.374338150024414"
"1523185200000","-19.428714752197266"
"1523271600000","-19.41461753845215"
"1523358000000","-19.43869400024414"
"1523444400000","-19.42632293701172"
"1523530800000","-19.391979217529297"
"1523617200000","-12.45938491821289"
"1523703600000","-19.757272720336914"
"1523790000000","-19.347423553466797"
"1523876400000","-19.355058670043945"
"1523962800000","-19.355031967163086"
"1524049200000","-19.35377311706543"
"1524135600000","-18.837987899780273"
"1524222000000","-17.49231719970703"
"1524308400000","-19.388389587402344"
"1524394800000","-19.392423629760742"
"1524481200000","-20.26063346862793"
"1524567600000","-20.181072235107422"
"1524654000000","-19.412370681762695"
"1524740400000","-19.659326553344727"
"1524826800000","-19.367107391357422"
"1524913200000","-19.355188369750977"
"1524999600000","-19.40030860900879"
"1525086000000","-19.41634178161621"
"1525172400000","-19.365060806274414"
"1525258800000","-19.39776039123535"
"1525345200000","-19.431278228759766"
"1525431600000","-19.379344940185547"
"1525518000000","-19.340354919433594"
"1525604400000","-19.271129608154297"
"1525690800000","-19.329469680786133"
"1525777200000","-19.449573516845703"
"1525863600000","-19.441707611083984"
