"TOB plus 1.1.1.2 TLIQ"
Date,VALUE_CONVERTED
"1325588400000","15.983316421508789"
"1325934000000","15.86720085144043"
"1326106800000","15.427741050720215"
"1326279600000","15.71713924407959"
"1326366000000","18.002769470214844"
"1326452400000","18.41409683227539"
"1326970800000","18.81040382385254"
"1327057200000","18.125200271606445"
"1328094000000","17.678407669067383"
"1328180400000","16.684932708740234"
"1328266800000","14.881150245666504"
"1328353200000","14.267979621887207"
"1328439600000","14.015060424804688"
"1328698800000","12.659125328063965"
"1328785200000","4.7933149337768555"
"1328871600000","4.814337253570557"
"1329130800000","4.713970184326172"
"1329217200000","5.220618724822998"
"1329390000000","5.263768196105957"
"1329476400000","5.299590587615967"
"1329908400000","4.737362384796143"
"1330081200000","5.225783348083496"
"1330513200000","5.196707248687744"
"1330599600000","5.278675556182861"
"1330686000000","9.444792747497559"
"1330772400000","4.992039203643799"
"1331031600000","5.45409631729126"
"1331118000000","5.58517599105835"
"1331204400000","5.040377616882324"
"1331290800000","6.834157466888428"
"1331377200000","5.188977241516113"
"1331463600000","5.590638160705566"
"1331550000000","4.824342250823975"
"1331636400000","6.313129425048828"
"1331722800000","5.029263019561768"
"1332500400000","4.6530375480651855"
"1332586800000","5.436765670776367"
"1332673200000","5.290389060974121"
"1332759600000","4.859971523284912"
"1332846000000","5.821101665496826"
"1332932400000","5.082547187805176"
"1333364400000","4.9713287353515625"
"1333537200000","5.141032695770264"
"1333623600000","5.390956401824951"
"1333710000000","5.203712463378906"
"1333796400000","5.295477867126465"
"1333882800000","5.39025354385376"
"1333969200000","5.520314693450928"
"1334055600000","5.227826118469238"
"1334142000000","5.269280910491943"
"1334228400000","5.5847063064575195"
"1334314800000","5.608221054077148"
"1334401200000","5.557037830352783"
"1334487600000","5.319841384887695"
"1334574000000","5.149786949157715"
"1334660400000","5.31411600112915"
"1334746800000","5.150650501251221"
"1334833200000","5.25823450088501"
"1334919600000","5.133471488952637"
"1335006000000","4.7369914054870605"
"1335178800000","7.16433572769165"
"1335265200000","16.938026428222656"
"1335351600000","18.010229110717773"
"1335438000000","12.481534004211426"
"1335524400000","5.325039863586426"
"1335610800000","5.172813892364502"
"1335697200000","5.137386322021484"
"1335783600000","5.109271049499512"
"1335870000000","5.093695163726807"
"1335956400000","5.308271408081055"
"1336042800000","5.1501007080078125"
"1336129200000","5.541906356811523"
"1336215600000","5.194126605987549"
"1336302000000","5.159798622131348"
"1336388400000","5.370850563049316"
"1336474800000","5.28872537612915"
"1336647600000","5.554873943328857"
"1336734000000","5.145500659942627"
"1336820400000","5.25612211227417"
"1336906800000","5.175722122192383"
"1336993200000","5.076515197753906"
"1337079600000","5.143369197845459"
"1337166000000","5.358290195465088"
"1337252400000","5.22509765625"
"1337338800000","5.316133499145508"
"1337511600000","5.430550575256348"
"1337598000000","5.122285842895508"
"1337684400000","5.261407375335693"
"1337770800000","5.31080436706543"
"1337857200000","5.191210746765137"
"1337943600000","5.121494293212891"
"1338030000000","5.0807108879089355"
"1338116400000","5.02908182144165"
"1338202800000","5.508153438568115"
"1338289200000","5.108724594116211"
"1338375600000","5.094884872436523"
"1338462000000","5.083256721496582"
"1338548400000","5.074795722961426"
"1338634800000","5.074110984802246"
"1338721200000","5.1144232749938965"
"1338807600000","5.088365077972412"
"1338894000000","5.357624053955078"
"1338980400000","5.284592151641846"
"1339066800000","5.127650260925293"
"1339153200000","5.097892761230469"
"1339239600000","5.867818832397461"
"1339326000000","5.779604434967041"
"1339412400000","5.443697452545166"
"1339498800000","5.430572509765625"
"1339585200000","5.41750955581665"
"1339671600000","5.395258903503418"
"1339758000000","5.147852420806885"
"1339844400000","5.167245864868164"
"1339930800000","5.237861156463623"
"1340017200000","5.101825714111328"
"1340190000000","4.657837867736816"
"1340535600000","4.644447326660156"
"1340622000000","5.017848014831543"
"1340708400000","5.4297003746032715"
"1340794800000","5.329733848571777"
"1340881200000","5.115795135498047"
"1341054000000","5.1322526931762695"
"1341226800000","5.18663215637207"
"1341313200000","5.154243469238281"
"1341399600000","5.10714864730835"
"1341486000000","5.120423316955566"
"1341572400000","5.164773941040039"
"1341658800000","5.241583824157715"
"1341745200000","5.244358062744141"
"1341831600000","5.08099889755249"
"1341918000000","4.769638538360596"
"1342004400000","4.850898265838623"
"1342090800000","5.135646820068359"
"1342177200000","5.154277324676514"
"1342263600000","5.056787490844727"
"1342350000000","5.1145734786987305"
"1342436400000","5.116242408752441"
"1342522800000","5.311800479888916"
"1342609200000","5.280800819396973"
"1342695600000","5.119813442230225"
"1342782000000","5.158329010009766"
"1342868400000","5.095727920532227"
"1342954800000","5.243212699890137"
"1343041200000","5.262322902679443"
"1343127600000","5.090366840362549"
"1343214000000","5.124673366546631"
"1343300400000","5.161073207855225"
"1343386800000","5.085939884185791"
"1343473200000","5.126863956451416"
"1343559600000","5.280429363250732"
"1343646000000","5.110235691070557"
"1343732400000","5.113410472869873"
"1343818800000","5.100279331207275"
"1343905200000","5.085796356201172"
"1343991600000","5.187290191650391"
"1344078000000","5.054897785186768"
"1344164400000","5.122348308563232"
"1344250800000","5.094882965087891"
"1344337200000","5.233408451080322"
"1344423600000","5.119366645812988"
"1344510000000","5.146866798400879"
"1344596400000","5.488436222076416"
"1344682800000","4.818248748779297"
"1344769200000","4.762374401092529"
"1344855600000","5.201154708862305"
"1344942000000","4.997519493103027"
"1345028400000","5.196322441101074"
"1345114800000","5.298651695251465"
"1345201200000","5.310993194580078"
"1345287600000","5.21931791305542"
"1345374000000","5.195321559906006"
"1345460400000","5.114861011505127"
